Species,ottFrame,obs
Auxis rochei,Auxis_rochei_rochei_ott,misnomer
Chelon ramada,Liza_ramado_ott,misnomer
Clupea pallasii,Clupea_pallasii_pallasii_ott,misnomer
Coris gaimard,Coris_gaimard_africana_ott,misnomer
Cynoscion regalis,Cynoscion_regalis_ssp._'gilli'_ott,misnomer
Eleginus nawaga,Eleginus_navaga_ott,misnomer
Fundulus heteroclitus,Fundulus_heteroclitus_heteroclitus_ott,misnomer
Fundulus xenicus,Adinia_xenica_ott,misnomer
Gadus morhua,Gadus_morhua_kildinensis_ott,misnomer
Gasterosteus aculeatus,Gasterosteus_aculeatus_aculeatus_ott,misnomer
Haemulopsis corvinaeformis,Pomadasys_corvinaeformis_ott,misnomer
Jaydia hungi,Apogon_hungi_ott,misnomer
Mallotus villosus,Mallotus_villosus_villosus_ott,misnomer
Merluccius gayi,Merluccius_gayi_gayi_ott,misnomer
Merluccius merluccius,Merluccius_merluccius_merluccius_ott,misnomer
Micromesistius australis,Micromesistius_australis_australis_ott,misnomer
Ostorhinchus doederleini,Apogon_doederleini_ott,misnomer
Paroncheilus affinis,Apogon_affinis_ott,misnomer
Planiliza subviridis,Liza_subviridis_ott,misnomer
Sardinops sagax,Sardinops_sagax_sagax_ott,misnomer
Synchiropus sechellensis,Foetorepus_altivelis_ott,misnomer
Taeniamia lineolata,Archamia_lineolata_ott,misnomer
Thunnus thynnus,Thunnus_thynnus_thynnus_ott,misnomer
