length_tl_mm,fecundity_divided_1e3
274.4344,19.5011
286.9445,20.4407
270.8876,22.5735
284.6818,23.5729
284.6703,26.0376
284.6674,26.7306
290.9255,26.6324
305.2125,25.1792
307.9282,27.9697
310.0029,30.837
304.2175,33.363
294.757,31.5333
288.825,30.256
287.2262,28.7609
283.5302,30.1974
275.503,31.349
276.9414,32.9787
275.491,34.8222
266.3509,33.0984
291.0645,32.1291
291.2193,33.7354
292.3399,34.5041
294.1004,35.8915
295.7063,35.4904
300.0352,36.5053
300.3536,37.3368
307.256,36.4401
308.3805,36.0327
265.3791,35.8117
265.2077,39.4079
260.3951,39.0376
257.9844,40.3774
275.6369,39.561
275.7917,41.5389
278.5218,40.6917
282.6993,38.7562
284.2967,41.2325
286.0656,39.8641
287.3533,38.4686
285.8939,43.9495
289.2654,43.2153
291.0311,42.9737
293.282,41.3145
293.7664,40.2436
295.2049,42.2562
288.4586,44.9516
298.0916,42.8164
299.3767,42.2583
303.7103,41.7875
304.8371,40.4762
305.4822,39.3532
312.6979,41.0152
310.1219,44.2105
302.899,45.2133
300.0123,44.6218
297.9245,45.2955
294.7112,47.0257
292.3048,46.8481
297.5983,47.4706
298.0773,48.4607
304.177,47.4744
304.4953,48.5556
311.5577,47.5678
311.2396,46.4214
316.3733,46.774
320.8693,45.4784
324.0836,43.4776
278.9929,44.5268
277.0674,44.5258
276.5832,45.6249
277.2235,46.2284
275.7793,46.2276
280.4288,47.8182
281.8746,47.1067
283.4819,45.9724
284.603,46.8437
291.4965,49.3747
293.0996,50.0284
290.5306,50.7835
290.5278,52.0374
287.1545,53.7218
285.8677,55.2544
280.0919,54.9404
276.2408,55.041
280.5625,60.3444
301.7631,50.5053
302.4021,51.7527
300.1544,52.3372
299.0313,52.3365
303.2005,53.531
308.6637,50.0379
309.9426,52.1474
314.9193,50.9893
322.7852,49.3934
325.6772,47.8444
326.7955,49.8614
330.9729,47.4898
323.0998,52.2536
318.9236,54.249
312.3426,55.3759
309.4557,54.754
309.4537,55.6865
310.4137,57.0622
312.8192,57.7099
314.1029,57.7107
312.9726,61.3961
316.8263,59.9195
319.3923,60.5998
317.795,56.8535
322.9281,57.6087
327.1027,56.2234
327.1081,53.647
330.1525,55.7005
306.4008,57.8136
327.8944,61.6381
322.2766,62.6835
329.3336,64.3574
339.2854,62.3445
335.584,68.6019
296.9443,52.8285
293.7351,52.8264
297.2606,54.9518
296.9352,57.16
299.3401,58.1351
299.022,56.734
301.2684,56.7356
292.441,57.9125
293.8818,59.5666
294.6835,59.9034
293.8797,60.6947
292.5958,60.8079
291.3122,60.8069
289.058,65.0543
291.3035,65.5462
291.4582,68.9524
285.9956,73.3519
296.6027,63.2547
297.7276,62.3132
299.9733,62.6665
301.2576,62.3158
303.1862,60.6447
306.7972,60.2504
305.3505,61.6213
308.962,60.9341
308.6393,61.9135
311.0425,63.922
310.8773,66.6157
308.7075,68.773
307.418,72.3456
307.4238,68.7719
302.5298,68.8324
303.2578,65.3714
303.5829,63.0231
301.4942,64.5776
300.4487,65.9853
296.9948,68.4414
298.3595,67.9308
298.1139,70.9263
300.3601,70.9948
299.1547,72.2706
300.2746,74.3345
300.1112,76.3128
303.4863,72.6823
303.56,76.963
304.7596,79.5332
306.4416,81.4987
308.7799,73.5789
308.7737,77.6934
311.0231,75.6812
318.2496,71.8141
318.0866,73.4492
315.0383,73.1714
315.1951,75.5431
316.9595,75.9712
313.9815,82.5836
310.3898,70.2745
311.9954,69.6196
313.1199,68.8412
313.1106,74.6255
308.6061,82.5783
310.6922,82.5804
310.0445,86.871
305.0687,88.1795
305.2332,85.0915
315.0189,86.7134
319.0371,81.6642
321.3049,67.7587
320.9865,66.3121
320.9884,65.2017
321.373,75.3364
319.1249,76.4737
321.1262,79.4744
328.0379,71.4865
325.8713,71.7534
326.9878,76.0517
327.0668,76.9127
328.7508,77.4211
330.2012,73.3223
336.8553,76.4184
337.6547,78.3796
339.736,81.608
343.7448,83.4704
334.7623,81.2974
332.9138,83.6162
323.043,85.6705
327.0568,83.9245
321.1117,90.1204
326.1591,95.7927
327.1269,91.6618
339.8739,99.2857
336.9141,92.1037
341.1655,92.6282
342.3679,93.4151
344.5309,96.084
345.0186,90.9108
355.4361,100.9956
351.503,102.7107
359.1913,115.6091
343.3921,110.0836
349.0031,114.946
350.282,119.7919
345.7901,118.8898
339.6932,118.4357
342.2502,129.6014
323.9854,102.2919
319.0029,110.0511
313.878,101.1344
305.2091,104.9906
312.0986,114.6793
312.6139,85.2589
334.4148,102.4969
336.6614,102.3075
324.9697,84.793
322.4222,71.3476
317.8289,85.1844
316.7842,86.4715
319.8413,80.2976
295.7767,77.7541
330.1863,83.4567
327.9355,86.7269
332.9849,90.4722
330.7362,92.443
335.7892,93.4953
334.7511,89.5453
326.8873,90.8056
309.8185,76.4651
311.7387,80.064
