length_tl_mm,eggDryWeight_mg_per_100eggs
276.0021,15.6068
275.9275,16.1847
279.9376,15.8538
288.1528,15.3274
285.1218,16.0274
284.7884,16.3594
283.8565,17.183
284.8413,17.1832
286.1488,17.5525
286.1425,17.9583
281.2868,17.7725
280.0313,18.2886
288.1249,17.135
300.1579,15.9825
301.44,17.9872
300.126,18.0483
298.1586,17.9002
296.1853,18.1333
294.804,18.2928
291.8378,19.042
293.0178,19.1653
289.9969,19.2013
286.1277,18.9174
282.0509,19.3096
286.044,20.0856
289.126,20.3324
289.9205,19.9022
291.8237,19.9519
293.0745,19.7433
293.0111,19.5957
292.147,20.284
286.8151,21.1679
320.0144,14.156
310.0543,17.1289
312.4747,17.7075
305.3777,18.099
305.1767,18.3572
306.8191,18.2962
304.3171,18.7504
300.2417,19.0567
300.107,19.278
298.9864,19.5605
299.0485,19.7941
304.2399,19.5005
307.9256,18.9236
302.132,19.9426
300.4889,20.0528
298.9773,20.1507
299.9605,20.2617
296.934,20.6665
295.8165,20.7524
294.9691,20.3586
302.455,20.287
304.0985,20.1522
304.1604,20.3981
305.4088,20.337
306.072,19.9068
306.9916,19.8824
307.0536,20.1161
309.03,19.6863
311.9123,20.1052
310.9909,20.2525
308.884,20.6331
309.996,20.9039
308.878,21.0143
307.7601,21.1369
305.4651,20.9395
305.3264,21.4191
305.2581,21.5912
306.1737,21.8251
304.1366,21.9352
301.1821,21.9343
299.8699,21.8725
299.1505,21.6878
297.7072,21.6136
297.7759,21.4169
315.0269,18.2493
315.7518,18.0774
325.2243,16.9119
322.7785,17.9809
322.5774,18.2514
321.3274,18.4109
320.7328,18.6444
321.8477,18.7308
323.8233,18.3502
324.6038,18.83
326.7114,18.4002
326.7147,18.1911
328.8185,18.0073
333.4854,17.6643
334.6676,17.6401
335.7233,17.3083
334.7566,16.1276
341.8317,17.1502
348.7295,16.9062
332.3564,18.5002
330.3189,18.6348
329.1369,18.6468
328.0889,18.4866
327.6263,18.6833
327.4238,19.0398
320.9202,19.2716
319.804,19.2713
319.5348,19.7016
315.3381,19.3561
314.8735,19.6757
318.0801,20.3652
319.589,20.4394
320.0528,20.169
320.8363,20.452
321.6886,20.5261
321.29,20.8334
319.8465,20.7715
314.335,20.5363
312.6274,20.5727
312.8889,20.6465
312.5478,21.4703
310.249,21.5188
308.4764,21.5183
309.9798,21.9491
316.2282,21.2377
316.0345,21.0286
317.4131,21.0413
325.8996,19.9493
326.8824,20.0849
328.3299,19.8885
328.9183,20.0485
328.464,19.7041
330.1699,19.7784
329.8363,20.1226
325.8273,20.3797
324.8392,20.5884
326.2147,20.7979
324.5705,20.9819
325.7508,21.0806
324.6958,21.3754
327.5905,20.995
328.5152,20.6387
329.8286,20.6267
331.8753,19.8895
332.8618,19.7791
332.7992,19.5824
331.6873,19.3115
335.765,18.8577
336.6168,18.9686
337.794,19.2641
337.6601,19.4362
337.6582,19.5592
337.7872,19.7067
336.7356,19.7802
340.7503,19.1543
346.8626,18.7502
347.4506,18.9348
349.0274,18.8738
349.8794,18.9724
351.9158,18.8992
355.7782,19.6381
357.879,19.651
347.5681,19.8325
346.9094,19.9676
341.9215,19.8432
339.6844,20.15
341.8497,20.2367
341.9131,20.3841
343.4862,20.5568
341.0544,20.716
339.3439,20.9369
333.9622,20.8001
332.651,20.6766
364.6993,20.1694
363.7123,20.3044
365.8771,20.4279
351.8237,20.6084
351.7559,20.7559
350.7014,21.0139
348.4028,21.0501
346.3644,21.2463
344.7849,21.4917
343.5427,21.1471
350.7607,21.4197
348.6526,21.874
350.62,22.0222
363.6206,21.9889
363.9346,22.9113
356.6455,22.9952
356.7026,23.5487
353.6923,22.9083
349.8827,23.0057
349.6183,23.1163
346.801,22.7343
345.0942,22.7215
345.9546,22.2668
344.6414,22.2787
336.1224,21.2187
337.1691,21.465
335.7245,21.4769
334.9979,21.7595
333.8182,21.6239
335.7841,21.8704
331.9163,21.4758
330.4743,21.3277
331.0677,21.1681
330.4016,21.7828
329.1543,21.7701
324.7534,21.8918
325.7349,22.1135
325.6633,22.4946
327.563,22.778
328.8138,22.557
330.7891,22.201
332.8275,22.0048
333.4809,22.2017
335.3199,22.1654
337.4923,21.7971
338.2147,21.785
340.1844,21.7856
341.1,22.0195
337.6841,22.1292
338.6637,22.4737
337.7445,22.4735
336.6936,22.4978
335.8376,22.6574
334.8488,22.9153
333.5309,23.2224
332.5468,23.1729
331.8316,22.7177
333.9364,22.4724
329.8582,22.9508
315.7544,22.1598
318.904,22.2837
320.6745,22.4194
321.6568,22.5918
313.1182,22.7985
311.2155,22.7119
310.6829,23.1913
305.8264,23.0547
300.8394,22.8688
298.7902,23.7659
302.1335,24.0988
316.7149,23.7341
317.5655,23.9186
321.7076,23.551
323.4773,23.7483
323.7464,23.3303
323.6864,22.9613
324.6019,23.1952
324.7944,23.4904
325.9129,23.3432
326.7671,23.2942
336.7507,23.0511
338.5171,23.4574
336.9405,23.5062
336.3456,23.7765
335.7541,23.8132
332.5371,23.8
330.7646,23.7872
329.7088,24.1312
327.8026,24.266
330.4205,24.8077
340.3646,22.8677
340.1652,23.0275
341.2808,23.0647
343.3723,23.6801
343.499,23.9752
346.5893,23.6933
287.7483,24.5128
292.8662,24.7233
312.7603,24.7167
315.7763,24.988
318.6679,24.8167
318.7124,26.1816
325.6164,25.5319
328.5652,25.9016
334.8723,25.6329
340.6007,24.5893
340.5392,24.3188
343.2848,25.0942
344.5968,25.1684
347.7544,24.7758
348.5394,24.9604
354.8437,24.8761
355.3616,25.3559
347.6054,25.9193
368.6854,25.6425
351.8516,27.31
