fecundity,wetWeight_g,eggDryWeight_ug,population
192240,373,54,Upper Narragansett Bay
1035653,802,54.2,Upper Narragansett Bay
222491,240,45.9,Upper Narragansett Bay
832196,597,40.7,Upper Narragansett Bay
1390495,1016,48.7,Upper Narragansett Bay
896455,628,41.2,Upper Narragansett Bay
369831,440,51.1,Upper Narragansett Bay
568533,461,47.3,Upper Narragansett Bay
616280,454,36.6,Upper Narragansett Bay
614823,427,38.2,Upper Narragansett Bay
1131404,930,47.9,Lower West Passage
679486,489,46.9,Lower West Passage
753385,592,45,Lower West Passage
822999,727,46,Lower West Passage
619677,416,35.7,Lower West Passage
364602,266,40.3,Lower West Passage
902800,642,50.8,Lower West Passage
